iter	Passed	Remaining
0	8	8842
1	18	9253
2	27	9133
3	38	9516
4	48	9559
5	57	9518
6	67	9510
7	77	9671
8	88	9734
9	97	9681
10	106	9562
11	116	9555
12	124	9471
13	134	9496
14	143	9433
15	154	9493
16	164	9496
17	172	9437
18	182	9437
19	191	9361
20	201	9381
21	210	9341
22	219	9308
23	228	9300
24	237	9247
25	246	9246
26	255	9216
27	265	9211
28	273	9167
29	283	9157
30	292	9143
31	301	9127
32	311	9114
33	319	9076
34	329	9072
35	338	9074
36	348	9079
37	357	9051
38	367	9064
39	377	9067
40	386	9031
41	395	9028
42	412	9187
43	421	9159
44	430	9146
45	439	9125
46	448	9094
47	457	9079
48	467	9069
49	477	9075
50	486	9055
51	495	9038
52	504	9015
53	513	8999
54	523	8991
55	532	8968
56	541	8962
57	550	8937
58	559	8929
59	567	8896
60	579	8915
61	588	8904
62	597	8879
63	606	8875
64	615	8848
65	625	8845
66	633	8817
67	642	8809
68	651	8786
69	660	8771
70	669	8764
71	681	8789
72	692	8791
73	702	8795
74	713	8796
75	725	8817
76	737	8835
77	747	8832
78	758	8837
79	768	8836
80	778	8832
81	789	8839
82	799	8830
83	809	8823
84	819	8823
85	829	8817
86	839	8810
87	847	8786
88	857	8776
89	866	8762
90	875	8749
91	886	8750
92	895	8733
93	904	8718
94	912	8696
95	921	8679
96	930	8663
97	939	8645
98	948	8634
99	957	8614
100	966	8602
101	974	8583
102	984	8575
103	993	8561
104	1003	8552
105	1011	8530
106	1020	8519
107	1029	8501
108	1037	8484
109	1047	8475
110	1055	8454
111	1065	8451
112	1075	8442
113	1086	8443
114	1096	8434
115	1104	8416
116	1113	8405
117	1121	8385
118	1133	8393
119	1142	8376
120	1151	8363
121	1160	8351
122	1169	8339
123	1178	8328
124	1187	8310
125	1196	8301
126	1205	8288
127	1215	8280
128	1224	8264
129	1233	8255
130	1242	8243
131	1251	8230
132	1260	8218
133	1269	8204
134	1278	8193
135	1286	8172
136	1296	8169
137	1304	8149
138	1314	8142
139	1323	8128
140	1332	8116
141	1341	8105
142	1349	8088
143	1359	8082
144	1368	8067
145	1377	8058
146	1386	8044
147	1396	8037
148	1405	8028
149	1415	8023
150	1425	8017
151	1434	8000
152	1443	7989
153	1451	7974
154	1462	7973
155	1471	7960
156	1480	7948
157	1489	7937
158	1497	7921
159	1506	7911
160	1516	7900
161	1526	7894
162	1534	7879
163	1543	7870
164	1552	7855
165	1561	7843
166	1570	7835
167	1578	7818
168	1588	7809
169	1596	7792
170	1605	7784
171	1614	7770
172	1623	7762
173	1632	7750
174	1641	7739
175	1650	7727
176	1659	7714
177	1668	7705
178	1677	7693
179	1686	7684
180	1695	7671
181	1704	7661
182	1715	7660
183	1727	7659
184	1737	7654
185	1746	7644
186	1758	7643
187	1769	7641
188	1778	7629
189	1789	7627
190	1799	7622
191	1810	7619
192	1821	7617
193	1832	7613
194	1842	7604
195	1852	7598
196	1862	7591
197	1872	7585
198	1882	7576
199	1891	7564
200	1900	7556
201	1909	7542
202	1919	7534
203	1929	7527
204	1937	7515
205	1948	7508
206	1956	7494
207	1965	7485
208	1974	7471
209	1983	7461
210	1992	7449
211	2002	7441
212	2010	7429
213	2019	7419
214	2028	7406
215	2038	7397
216	2047	7387
217	2056	7377
218	2068	7377
219	2079	7371
220	2088	7362
221	2099	7356
222	2108	7346
223	2118	7340
224	2129	7333
225	2139	7328
226	2149	7321
227	2160	7316
228	2170	7307
229	2180	7300
230	2191	7294
231	2201	7288
232	2212	7283
233	2220	7270
234	2230	7261
235	2238	7246
236	2248	7239
237	2257	7226
238	2266	7217
239	2275	7207
240	2284	7193
241	2293	7182
242	2301	7168
243	2310	7159
244	2318	7144
245	2328	7136
246	2336	7123
247	2346	7116
248	2356	7106
249	2364	7094
250	2374	7086
251	2383	7074
252	2392	7064
253	2401	7051
254	2410	7041
255	2418	7029
256	2428	7020
257	2437	7009
258	2447	7001
259	2456	6992
260	2464	6978
261	2473	6966
262	2481	6953
263	2490	6943
264	2498	6931
265	2508	6922
266	2516	6909
267	2526	6901
268	2535	6888
269	2545	6882
270	2555	6875
271	2565	6867
272	2575	6858
273	2585	6851
274	2595	6843
275	2606	6836
276	2615	6827
277	2626	6820
278	2636	6814
279	2645	6802
280	2655	6794
281	2664	6783
282	2672	6770
283	2681	6759
284	2690	6748
285	2699	6738
286	2709	6731
287	2719	6722
288	2729	6714
289	2739	6706
290	2748	6696
291	2756	6684
292	2766	6674
293	2775	6664
294	2784	6655
295	2793	6643
296	2802	6633
297	2810	6621
298	2820	6612
299	2828	6600
300	2837	6589
301	2846	6580
302	2855	6567
303	2865	6560
304	2874	6549
305	2883	6539
306	2891	6527
307	2900	6516
308	2908	6505
309	2917	6494
310	2927	6484
311	2935	6474
312	2945	6464
313	2953	6452
314	2962	6441
315	2970	6430
316	2980	6421
317	2989	6410
318	2998	6400
319	3007	6390
320	3016	6379
321	3023	6367
322	3033	6358
323	3042	6348
324	3050	6336
325	3059	6326
326	3067	6313
327	3076	6303
328	3086	6293
329	3095	6284
330	3103	6273
331	3112	6263
332	3121	6252
333	3131	6243
334	3140	6234
335	3150	6226
336	3159	6215
337	3167	6203
338	3176	6194
339	3185	6183
340	3195	6175
341	3204	6165
342	3213	6156
343	3223	6146
344	3231	6135
345	3240	6125
346	3248	6113
347	3257	6102
348	3265	6091
349	3275	6083
350	3283	6071
351	3293	6063
352	3301	6051
353	3311	6043
354	3320	6032
355	3328	6021
356	3338	6012
357	3346	6001
358	3355	5990
359	3363	5979
360	3373	5970
361	3381	5959
362	3391	5952
363	3400	5941
364	3410	5932
365	3418	5922
366	3427	5911
367	3436	5901
368	3444	5889
369	3452	5878
370	3460	5867
371	3470	5859
372	3479	5848
373	3488	5839
374	3497	5828
375	3508	5821
376	3517	5813
377	3526	5802
378	3535	5793
379	3543	5781
380	3552	5771
381	3560	5760
382	3570	5751
383	3578	5740
384	3587	5730
385	3596	5720
386	3606	5712
387	3614	5701
388	3624	5692
389	3632	5682
390	3641	5671
391	3649	5660
392	3658	5651
393	3668	5642
394	3676	5631
395	3686	5622
396	3694	5611
397	3706	5606
398	3715	5596
399	3725	5587
400	3734	5579
401	3742	5567
402	3751	5556
403	3759	5545
404	3769	5537
405	3778	5527
406	3786	5517
407	3795	5507
408	3804	5496
409	3813	5487
410	3822	5478
411	3832	5469
412	3840	5458
413	3848	5447
414	3857	5437
415	3867	5429
416	3875	5418
417	3884	5409
418	3893	5399
419	3902	5389
420	3912	5380
421	3921	5371
422	3932	5364
423	3940	5353
424	3949	5343
425	3957	5332
426	3966	5322
427	3975	5312
428	3983	5302
429	3993	5293
430	4001	5282
431	4011	5273
432	4019	5262
433	4029	5255
434	4038	5245
435	4046	5234
436	4056	5225
437	4065	5216
438	4074	5206
439	4082	5195
440	4092	5187
441	4100	5176
442	4110	5167
443	4118	5157
444	4128	5149
445	4136	5138
446	4147	5130
447	4155	5120
448	4163	5109
449	4173	5100
450	4181	5090
451	4190	5081
452	4198	5070
453	4208	5061
454	4216	5050
455	4226	5041
456	4234	5031
457	4244	5022
458	4253	5013
459	4262	5003
460	4271	4994
461	4279	4983
462	4288	4974
463	4297	4964
464	4306	4955
465	4316	4945
466	4325	4936
467	4334	4926
468	4342	4916
469	4351	4906
470	4360	4897
471	4369	4887
472	4378	4877
473	4387	4868
474	4395	4858
475	4404	4848
476	4412	4838
477	4422	4829
478	4431	4819
479	4439	4809
480	4447	4799
481	4458	4791
482	4467	4782
483	4476	4772
484	4485	4762
485	4493	4752
486	4503	4743
487	4512	4733
488	4521	4724
489	4529	4714
490	4537	4703
491	4546	4693
492	4556	4685
493	4565	4676
494	4574	4666
495	4583	4657
496	4591	4647
497	4600	4637
498	4609	4627
499	4618	4618
500	4626	4608
501	4635	4598
502	4643	4587
503	4653	4579
504	4661	4569
505	4671	4560
506	4681	4551
507	4689	4541
508	4700	4534
509	4708	4523
510	4719	4515
511	4727	4506
512	4735	4495
513	4744	4485
514	4753	4476
515	4762	4467
516	4771	4457
517	4781	4449
518	4790	4439
519	4800	4430
520	4808	4420
521	4817	4411
522	4825	4401
523	4834	4391
524	4842	4381
525	4852	4372
526	4862	4364
527	4870	4354
528	4881	4346
529	4889	4335
530	4900	4327
531	4911	4320
532	4922	4312
533	4933	4304
534	4944	4297
535	4954	4288
536	4963	4279
537	4972	4269
538	4982	4261
539	4991	4251
540	4999	4241
541	5009	4232
542	5017	4223
543	5025	4212
544	5034	4202
545	5043	4193
546	5052	4184
547	5061	4175
548	5071	4166
549	5080	4156
550	5088	4146
551	5098	4137
552	5107	4128
553	5116	4119
554	5125	4109
555	5132	4098
556	5142	4090
557	5151	4080
558	5160	4071
559	5169	4061
560	5178	4052
561	5187	4042
562	5196	4033
563	5205	4024
564	5214	4014
565	5222	4004
566	5230	3994
567	5239	3985
568	5249	3976
569	5258	3966
570	5266	3957
571	5275	3947
572	5284	3937
573	5294	3929
574	5303	3919
575	5312	3910
576	5320	3900
577	5328	3890
578	5338	3881
579	5346	3871
580	5356	3862
581	5364	3852
582	5373	3843
583	5381	3833
584	5392	3825
585	5401	3816
586	5411	3807
587	5420	3798
588	5428	3788
589	5438	3779
590	5446	3768
591	5455	3759
592	5463	3749
593	5472	3740
594	5480	3730
595	5489	3721
596	5498	3711
597	5508	3703
598	5517	3693
599	5525	3683
600	5534	3674
601	5543	3664
602	5553	3655
603	5560	3645
604	5570	3636
605	5578	3626
606	5588	3617
607	5596	3608
608	5605	3598
609	5614	3589
610	5624	3581
611	5635	3572
612	5646	3564
613	5656	3555
614	5666	3547
615	5675	3538
616	5686	3529
617	5697	3521
618	5707	3512
619	5717	3504
620	5726	3494
621	5736	3485
622	5744	3475
623	5753	3466
624	5762	3457
625	5771	3447
626	5780	3438
627	5788	3428
628	5797	3419
629	5805	3409
630	5814	3400
631	5821	3389
632	5831	3381
633	5840	3371
634	5849	3362
635	5858	3352
636	5867	3343
637	5877	3334
638	5885	3324
639	5894	3315
640	5903	3306
641	5912	3297
642	5920	3287
643	5930	3278
644	5938	3268
645	5948	3259
646	5956	3249
647	5965	3240
648	5974	3230
649	5982	3221
650	5992	3212
651	6000	3202
652	6009	3193
653	6017	3183
654	6026	3174
655	6034	3164
656	6044	3155
657	6052	3146
658	6062	3136
659	6070	3127
660	6079	3117
661	6088	3108
662	6096	3099
663	6105	3089
664	6113	3079
665	6123	3070
666	6131	3061
667	6142	3052
668	6152	3044
669	6161	3034
670	6171	3025
671	6179	3016
672	6188	3007
673	6197	2997
674	6205	2987
675	6213	2978
676	6222	2969
677	6231	2959
678	6240	2950
679	6248	2940
680	6259	2931
681	6267	2922
682	6276	2913
683	6285	2904
684	6294	2894
685	6302	2885
686	6311	2875
687	6321	2866
688	6329	2856
689	6338	2847
690	6346	2838
691	6356	2828
692	6364	2819
693	6374	2810
694	6383	2801
695	6391	2791
696	6400	2782
697	6408	2772
698	6417	2763
699	6425	2753
700	6439	2746
701	6450	2738
702	6458	2728
703	6467	2719
704	6477	2710
705	6486	2701
706	6495	2691
707	6503	2682
708	6512	2672
709	6521	2663
710	6530	2654
711	6539	2645
712	6548	2635
713	6556	2626
714	6565	2617
715	6574	2607
716	6583	2598
717	6592	2589
718	6601	2579
719	6609	2570
720	6618	2561
721	6627	2551
722	6636	2542
723	6645	2533
724	6654	2524
725	6663	2514
726	6672	2505
727	6682	2496
728	6691	2487
729	6699	2477
730	6709	2469
731	6719	2460
732	6728	2450
733	6736	2441
734	6745	2432
735	6754	2422
736	6763	2413
737	6772	2404
738	6782	2395
739	6790	2385
740	6800	2377
741	6809	2367
742	6818	2358
743	6827	2349
744	6835	2339
745	6846	2330
746	6854	2321
747	6864	2312
748	6872	2303
749	6881	2293
750	6890	2284
751	6899	2275
752	6909	2266
753	6917	2256
754	6926	2247
755	6935	2238
756	6945	2229
757	6953	2219
758	6963	2210
759	6971	2201
760	6980	2192
761	6989	2183
762	6997	2173
763	7006	2164
764	7015	2155
765	7024	2145
766	7032	2136
767	7042	2127
768	7050	2117
769	7059	2108
770	7068	2099
771	7078	2090
772	7087	2081
773	7095	2071
774	7104	2062
775	7114	2053
776	7124	2044
777	7133	2035
778	7142	2026
779	7150	2016
780	7160	2007
781	7169	1998
782	7178	1989
783	7186	1979
784	7194	1970
785	7202	1961
786	7211	1951
787	7220	1942
788	7229	1933
789	7239	1924
790	7247	1914
791	7257	1905
792	7265	1896
793	7274	1887
794	7282	1877
795	7290	1868
796	7298	1858
797	7307	1849
798	7316	1840
799	7325	1831
800	7335	1822
801	7343	1812
802	7353	1803
803	7361	1794
804	7370	1785
805	7380	1776
806	7388	1766
807	7396	1757
808	7406	1748
809	7414	1739
810	7424	1730
811	7433	1721
812	7443	1712
813	7453	1703
814	7461	1693
815	7470	1684
816	7479	1675
817	7487	1665
818	7496	1656
819	7506	1647
820	7515	1638
821	7523	1629
822	7532	1620
823	7540	1610
824	7550	1601
825	7559	1592
826	7567	1583
827	7575	1573
828	7584	1564
829	7593	1555
830	7602	1546
831	7612	1537
832	7620	1527
833	7629	1518
834	7638	1509
835	7647	1500
836	7656	1491
837	7664	1481
838	7673	1472
839	7686	1464
840	7696	1455
841	7705	1445
842	7714	1436
843	7725	1427
844	7735	1419
845	7745	1409
846	7754	1400
847	7763	1391
848	7771	1382
849	7781	1373
850	7790	1363
851	7799	1354
852	7808	1345
853	7816	1336
854	7826	1327
855	7834	1318
856	7846	1309
857	7854	1299
858	7862	1290
859	7870	1281
860	7879	1272
861	7888	1262
862	7897	1253
863	7907	1244
864	7915	1235
865	7924	1226
866	7932	1216
867	7942	1207
868	7951	1198
869	7962	1189
870	7971	1180
871	7980	1171
872	7990	1162
873	7998	1153
874	8008	1144
875	8015	1134
876	8025	1125
877	8033	1116
878	8044	1107
879	8052	1098
880	8062	1089
881	8072	1080
882	8082	1070
883	8091	1061
884	8100	1052
885	8109	1043
886	8118	1034
887	8127	1025
888	8136	1015
889	8144	1006
890	8154	997
891	8163	988
892	8172	979
893	8180	969
894	8190	960
895	8198	951
896	8207	942
897	8216	933
898	8225	924
899	8234	914
900	8242	905
